Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0/3.14159,4206,160,900.0,1719.7817568235816,104.28149999999903,21105.253000000004,124.09272467902996,24.83495987507138,0.944744075133481,900,1900,2200,2200,2300,2600,16000,21000,21000,21000,21000
,Aggregated,4206,160,900.0,1719.7817568235816,104.28149999999903,21105.253000000004,124.09272467902996,24.83495987507138,0.944744075133481,900,1900,2200,2200,2300,2600,16000,21000,21000,21000,21000
