Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0/3.14159,893,0,9600.0,8397.972423068315,523.1164999999995,12082.1258,129.0,4.980476021800851,0.0,9600,9900,10000,10000,11000,11000,12000,12000,12000,12000,12000
,Aggregated,893,0,9600.0,8397.972423068315,523.1164999999995,12082.1258,129.0,4.980476021800851,0.0,9600,9900,10000,10000,11000,11000,12000,12000,12000,12000,12000
