Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//numericalintegralservice/0/3.14159,1548,0,5700.0,4904.617067377251,74.22289999999987,7802.784099999997,129.0,8.624981421562468,0.0,5700,5900,6100,6200,6500,6700,7100,7400,7800,7800,7800
,Aggregated,1548,0,5700.0,4904.617067377251,74.22289999999987,7802.784099999997,129.0,8.624981421562468,0.0,5700,5900,6100,6200,6500,6700,7100,7400,7800,7800,7800
